Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type
301295,3/31/2016 23:59,4/1/2016 0:04,31280,11th & S St NW,31506,1st & Rhode Island Ave NW,W00022,Registered
557887,3/31/2016 23:59,4/1/2016 0:08,31275,New Hampshire Ave & 24th St NW,31114,18th St & Wyoming Ave NW,W01294,Registered
555944,3/31/2016 23:59,4/1/2016 0:08,31101,14th & V St NW,31221,18th & M St NW,W01416,Registered
766916,3/31/2016 23:57,4/1/2016 0:09,31226,34th St & Wisconsin Ave NW,31214,17th & Corcoran St NW,W01090,Registered
139656,3/31/2016 23:57,3/31/2016 23:59,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W21934,Registered
967713,3/31/2016 23:57,4/1/2016 0:13,31266,11th & M St NW,31600,5th & K St NW,W20562,Casual
534836,3/31/2016 23:57,4/1/2016 0:06,31222,New York Ave & 15th St NW,31278,18th & R St NW,W20222,Registered
243864,3/31/2016 23:56,4/1/2016 0:00,31228,8th & H St NW,31600,5th & K St NW,W20291,Registered
372524,3/31/2016 23:55,4/1/2016 0:01,31113,Columbia Rd & Belmont St NW,31234,20th & O St NW / Dupont South,W20590,Registered
215194,3/31/2016 23:55,3/31/2016 23:59,31263,10th & K St NW,31265,5th St & Massachusetts Ave NW,W21876,Registered
498903,3/31/2016 23:55,4/1/2016 0:03,31243,Maryland & Independence Ave SW,31209,1st & N St  SE,W20973,Registered
389082,3/31/2016 23:54,4/1/2016 0:01,31079,Lee Hwy & N Cleveland St,31093,21st St N & N Pierce St,W01197,Registered
1680745,3/31/2016 23:54,4/1/2016 0:22,31258,Lincoln Memorial,31269,3rd St & Pennsylvania Ave SE,W01191,Casual
1687026,3/31/2016 23:54,4/1/2016 0:23,31258,Lincoln Memorial,31269,3rd St & Pennsylvania Ave SE,W20449,Casual
544541,3/31/2016 23:53,4/1/2016 0:02,31245,7th & R St NW / Shaw Library,31505,Eckington Pl & Q St NE,W20888,Registered
1001144,3/31/2016 23:51,4/1/2016 0:08,31106,Calvert & Biltmore St NW,31226,34th St & Wisconsin Ave NW,W22196,Casual
1262663,3/31/2016 23:51,4/1/2016 0:12,31111,10th & U St NW,31226,34th St & Wisconsin Ave NW,W21553,Casual
451821,3/31/2016 23:51,3/31/2016 23:59,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31617,Bladensburg Rd & Benning Rd NE,W20614,Registered
305172,3/31/2016 23:50,3/31/2016 23:55,31269,3rd St & Pennsylvania Ave SE,31639,2nd & G St NE,W22068,Registered
5230964,3/31/2016 23:50,4/1/2016 1:17,31248,Smithsonian / Jefferson Dr & 12th St SW,31248,Smithsonian / Jefferson Dr & 12th St SW,W01458,Casual
5226179,3/31/2016 23:50,4/1/2016 1:17,31248,Smithsonian / Jefferson Dr & 12th St SW,31248,Smithsonian / Jefferson Dr & 12th St SW,W22256,Casual
534398,3/31/2016 23:51,3/31/2016 23:59,31106,Calvert & Biltmore St NW,31278,18th & R St NW,W21441,Casual
611293,3/31/2016 23:49,3/31/2016 23:59,31230,Metro Center / 12th & G St NW,31212,21st & M St NW,W00928,Registered
1782313,3/31/2016 23:48,4/1/2016 0:18,31602,Park Rd & Holmead Pl NW,31258,Lincoln Memorial,W20734,Registered
1772821,3/31/2016 23:48,4/1/2016 0:18,31602,Park Rd & Holmead Pl NW,31258,Lincoln Memorial,W00353,Registered
173074,3/31/2016 23:45,3/31/2016 23:48,31019,Wilson Blvd & N Edgewood St,31079,Lee Hwy & N Cleveland St,W00719,Registered
412372,3/31/2016 23:45,3/31/2016 23:52,31202,14th & R St NW,31114,18th St & Wyoming Ave NW,W20924,Registered
401291,3/31/2016 23:45,3/31/2016 23:52,31202,14th & R St NW,31114,18th St & Wyoming Ave NW,W20768,Registered
617906,3/31/2016 23:45,3/31/2016 23:56,31234,20th & O St NW / Dupont South,31117,15th & Euclid St  NW,W00613,Registered
527203,3/31/2016 23:44,3/31/2016 23:53,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31208,M St & New Jersey Ave SE,W01039,Casual
360184,3/31/2016 23:44,3/31/2016 23:50,31275,New Hampshire Ave & 24th St NW,31200,Massachusetts Ave & Dupont Circle NW,W01413,Registered
1451272,3/31/2016 23:43,4/1/2016 0:07,31212,21st & M St NW,31508,Gallaudet / 8th St & Florida Ave NE,W21112,Registered
241782,3/31/2016 23:43,3/31/2016 23:47,31280,11th & S St NW,31120,10th & Florida Ave NW,W21794,Registered
3664705,3/31/2016 23:43,4/1/2016 0:44,31271,Constitution Ave & 2nd St NW/DOL,31271,Constitution Ave & 2nd St NW/DOL,W00931,Casual
3650201,3/31/2016 23:44,4/1/2016 0:44,31271,Constitution Ave & 2nd St NW/DOL,31271,Constitution Ave & 2nd St NW/DOL,W01182,Casual
668788,3/31/2016 23:42,3/31/2016 23:53,31402,14th St Heights / 14th & Crittenden St NW,31119,14th & Belmont St NW,W20811,Registered
1336707,3/31/2016 23:41,4/1/2016 0:03,31518,New York Ave & Hecht Ave NE,31623,Columbus Circle / Union Station,W20508,Casual
308155,3/31/2016 23:41,3/31/2016 23:47,31102,11th & Kenyon St NW,31107,Lamont & Mt Pleasant NW,W20765,Registered
407191,3/31/2016 23:40,3/31/2016 23:47,31512,Neal St & Trinidad Ave NE,31512,Neal St & Trinidad Ave NE,W20403,Registered
657029,3/31/2016 23:40,3/31/2016 23:51,31035,N Quincy St & Glebe Rd,31028,N Veitch & Key Blvd,W00726,Registered
529724,3/13/2016 23:58,3/14/2016 0:06,31110,20th St & Florida Ave NW,31122,16th & Irving St NW,W20647,Registered
6770246,3/13/2016 23:56,3/14/2016 1:48,31258,Lincoln Memorial,31077,Iwo Jima Memorial/N Meade & 14th St N,W22214,Casual
482662,3/13/2016 23:35,3/13/2016 23:43,31623,Columbus Circle / Union Station,31618,4th & East Capitol St NE,W20715,Registered
280280,3/13/2016 23:33,3/13/2016 23:38,31624,North Capitol St & F St NW,31265,5th St & Massachusetts Ave NW,W20760,Registered
631987,3/13/2016 23:28,3/13/2016 23:39,31623,Columbus Circle / Union Station,31712,Oklahoma Ave & D St NE,W20312,Registered
598552,3/13/2016 23:27,3/13/2016 23:37,31509,New Jersey Ave & R St NW,31517,Union Market/6th St & Neal Pl NE,W21351,Registered
1050198,3/13/2016 23:21,3/13/2016 23:39,31217,USDA / 12th & Independence Ave SW,31610,Eastern Market / 7th & North Carolina Ave SE,W21880,Registered
673239,3/13/2016 23:16,3/13/2016 23:27,31200,Massachusetts Ave & Dupont Circle NW,31509,New Jersey Ave & R St NW,W21228,Registered
265460,3/13/2016 23:15,3/13/2016 23:19,31103,16th & Harvard St NW,31113,Columbia Rd & Belmont St NW,W21717,Registered
1371121,3/13/2016 23:14,3/13/2016 23:37,31108,4th & M St SW,31282,16th & R St NW,W20614,Registered
506698,3/13/2016 23:13,3/13/2016 23:21,31282,16th & R St NW,31103,16th & Harvard St NW,W00555,Registered
634416,3/13/2016 23:10,3/13/2016 23:21,31258,Lincoln Memorial,31217,USDA / 12th & Independence Ave SW,W01389,Registered
545629,3/13/2016 23:06,3/13/2016 23:15,31305,Connecticut Ave & Newark St NW / Cleveland Park,31200,Massachusetts Ave & Dupont Circle NW,W20280,Registered
372111,3/13/2016 23:03,3/13/2016 23:09,31271,Constitution Ave & 2nd St NW/DOL,31623,Columbus Circle / Union Station,W20312,Registered
1078163,3/13/2016 23:00,3/13/2016 23:18,31276,15th & L St NW,31115,Columbia Rd & Georgia Ave NW,W01163,Registered
372270,3/13/2016 22:58,3/13/2016 23:05,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W20876,Registered
726630,3/13/2016 22:50,3/13/2016 23:02,31110,20th St & Florida Ave NW,31118,3rd & Elm St NW,W20854,Registered
759270,3/13/2016 22:46,3/13/2016 22:59,31623,Columbus Circle / Union Station,31201,15th & P St NW,W21299,Registered
2311404,3/13/2016 22:43,3/13/2016 23:21,31212,21st & M St NW,31212,21st & M St NW,W00472,Casual
199222,3/13/2016 22:43,3/13/2016 22:46,31048,King St Metro South,31084,Ballenger Ave & Dulaney St,W00971,Registered
350115,3/13/2016 22:43,3/13/2016 22:49,31200,Massachusetts Ave & Dupont Circle NW,31241,Thomas Circle,W00191,Registered
142813,3/13/2016 22:41,3/13/2016 22:44,31620,5th & F St NW,31265,5th St & Massachusetts Ave NW,W00041,Registered
409696,3/13/2016 22:39,3/13/2016 22:46,31101,14th & V St NW,31241,Thomas Circle,W01277,Casual
563959,3/13/2016 22:39,3/13/2016 22:49,31202,14th & R St NW,31203,14th & Rhode Island Ave NW,W21089,Casual
327175,3/13/2016 22:36,3/13/2016 22:42,31110,20th St & Florida Ave NW,31110,20th St & Florida Ave NW,W20854,Registered
335866,3/13/2016 22:35,3/13/2016 22:40,31203,14th & Rhode Island Ave NW,31265,5th St & Massachusetts Ave NW,W21204,Registered
1038140,3/13/2016 22:34,3/13/2016 22:51,31623,Columbus Circle / Union Station,31239,17th & Rhode Island Ave NW,W00246,Registered
589372,3/13/2016 22:34,3/13/2016 22:44,31108,4th & M St SW,31108,4th & M St SW,W21774,Registered
627870,3/13/2016 22:34,3/13/2016 22:44,31108,4th & M St SW,31108,4th & M St SW,W22251,Registered
651598,3/13/2016 22:30,3/13/2016 22:41,31266,11th & M St NW,31603,1st & M St NE,W20789,Casual
631026,3/13/2016 22:30,3/13/2016 22:41,31266,11th & M St NW,31603,1st & M St NE,W00039,Casual
